document_id,query_id,round,user,position,Okapi,LM,TF,NormTF,LEN,FracStop,StopCover,ENT,BERT
ROUND-07-124_124_1_T-KKGQER,124,7,KKGQER,4,23.22337,-15.918819,17,9.947678,152,0.348684211,0.122905028,4.093017416,0.999879956
ROUND-07-124_124_1_T-DG0YZT,124,7,DG0YZT,3,17.333841,-19.650166,4,7.624619,16,0.3125,0.022346369,2.36938212,0.999889612
ROUND-07-124_124_0_T-AB0X0J,124,7,AB0X0J,2,22.769192,-16.323725,14,9.603425,114,0.412280702,0.117318436,3.919321573,0.999874711
ROUND-07-124_124_0_T-GZ4HPV,124,7,GZ4HPV,1,21.930016,-16.51063,14,10.260134,137,0.408759124,0.111731844,4.101250999,0.999876738
ROUND-01-144_144_0_T-3QROR8,144,1,3QROR8,4,16.658539,-10.983868,10,6.990037,151,0.364238411,0.134078212,4.102147082,0.999594152
ROUND-01-144_144_1_T-JMEXAI,144,1,JMEXAI,4,17.546402,-9.582702,19,5.4761305,145,0.44137931,0.134078212,3.836452088,0.999733627
ROUND-01-144_144_0_T-DARU2T,144,1,DARU2T,1,12.415295,-13.573776,8,8.661467,152,0.467105263,0.212290503,4.166286399,0.998468816
ROUND-01-144_144_0_T-XK862E,144,1,XK862E,2,17.200138,-10.243246,14,6.1877623,148,0.52027027,0.162011173,3.933294793,0.999759018
ROUND-01-144_144_1_T-BABUSQ,144,1,BABUSQ,3,16.799744,-10.825905,11,6.661908,137,0.350364964,0.12849162,4.252882657,0.999773562
ROUND-01-144_144_1_T-Z8LR6O,144,1,Z8LR6O,1,17.082884,-10.445828,13,6.328135,142,0.5,0.162011173,3.812285465,0.999715745
ROUND-01-144_144_1_T-D5KJCA,144,1,D5KJCA,2,15.760946,-11.736597,9,7.1507993,101,0.396039604,0.122905028,3.891372088,0.999607146
ROUND-01-144_144_0_T-AFOPDT,144,1,AFOPDT,3,16.448444,-11.21653,10,7.2082767,147,0.469387755,0.17877095,4.110691327,0.999486566
ROUND-02-144_144_0_T-AFOPDT,144,2,AFOPDT,1,16.978489,-10.599302,13,6.4093523,135,0.474074074,0.201117318,4.088173115,0.999778211
ROUND-02-144_144_0_T-3QROR8,144,2,3QROR8,4,16.156958,-11.51107,8,7.549653,151,0.456953642,0.162011173,4.143776217,0.999540567
ROUND-02-144_144_0_T-DARU2T,144,2,DARU2T,2,12.415295,-13.573776,8,8.661467,152,0.467105263,0.212290503,4.166286399,0.998468816
ROUND-02-144_144_1_T-BABUSQ,144,2,BABUSQ,1,16.900665,-10.702872,12,6.4998426,134,0.462686567,0.162011173,3.902556514,0.999593675
ROUND-02-144_144_1_T-Z8LR6O,144,2,Z8LR6O,3,17.082884,-10.445828,13,6.328135,142,0.5,0.162011173,3.812285465,0.999715745
ROUND-02-144_144_1_T-JMEXAI,144,2,JMEXAI,4,15.247954,-12.228095,6,7.845338,113,0.460176991,0.150837989,4.030315986,0.999579012
ROUND-02-144_144_0_T-XK862E,144,2,XK862E,3,17.200138,-10.243246,14,6.1877623,148,0.52027027,0.162011173,3.933294793,0.999759018
ROUND-02-144_144_1_T-D5KJCA,144,2,D5KJCA,2,16.598866,-11.027789,11,6.455286,107,0.401869159,0.134078212,3.909648383,0.999779999
ROUND-03-144_144_1_T-BABUSQ,144,3,BABUSQ,1,16.900665,-10.702872,12,6.4998426,134,0.462686567,0.162011173,3.902556514,0.999593675
ROUND-03-144_144_0_T-3QROR8,144,3,3QROR8,4,16.160046,-11.507593,8,7.522986,149,0.469798658,0.184357542,4.175165139,0.999546707
ROUND-03-144_144_0_T-DARU2T,144,3,DARU2T,2,12.415295,-13.573776,8,8.661467,152,0.467105263,0.212290503,4.166286399,0.998468816
ROUND-03-144_144_1_T-Z8LR6O,144,3,Z8LR6O,3,14.614935,-12.359341,4,4.158883,16,0.375,0.027932961,2.245035274,0.999730766
ROUND-03-144_144_0_T-AFOPDT,144,3,AFOPDT,1,16.978489,-10.599302,13,6.4093523,135,0.474074074,0.201117318,4.088173115,0.999778211
ROUND-03-144_144_0_T-XK862E,144,3,XK862E,3,17.200138,-10.243246,14,6.1877623,148,0.52027027,0.162011173,3.933294793,0.999759018
ROUND-03-144_144_1_T-JMEXAI,144,3,JMEXAI,4,17.044907,-10.502252,14,6.299172,134,0.492537313,0.156424581,3.850566736,0.999491572
ROUND-03-144_144_1_T-D5KJCA,144,3,D5KJCA,2,16.668798,-10.933267,12,6.4590435,113,0.415929204,0.134078212,3.893476332,0.999757469
ROUND-04-144_144_0_T-XK862E,144,4,XK862E,1,17.37293,-9.948381,16,5.7889404,140,0.521428571,0.150837989,3.80675293,0.999751508
ROUND-04-144_144_0_T-AFOPDT,144,4,AFOPDT,2,16.978489,-10.599302,13,6.4093523,135,0.474074074,0.201117318,4.088173115,0.999778211
ROUND-04-144_144_1_T-Z8LR6O,144,4,Z8LR6O,3,14.630683,-12.347495,4,3.218876,10,0.4,0.016759777,1.732867951,0.999759138
ROUND-04-144_144_1_T-D5KJCA,144,4,D5KJCA,2,16.662506,-10.942232,12,6.545637,118,0.423728814,0.139664804,3.931055673,0.999668121
ROUND-04-144_144_0_T-3QROR8,144,4,3QROR8,4,17.33028,-10.078188,17,5.96041,142,0.366197183,0.139664804,4.09218832,0.999675989
ROUND-04-144_144_0_T-DARU2T,144,4,DARU2T,3,12.415295,-13.573776,8,8.661467,152,0.467105263,0.212290503,4.166286399,0.998468816
ROUND-04-144_144_1_T-JMEXAI,144,4,JMEXAI,4,16.9272,-10.661891,12,6.1232233,111,0.495495495,0.139664804,3.687052269,0.999417901
ROUND-04-144_144_1_T-BABUSQ,144,4,BABUSQ,1,16.900665,-10.702872,12,6.4998426,134,0.462686567,0.162011173,3.902556514,0.999593675
ROUND-05-144_144_0_T-XK862E,144,5,XK862E,2,17.37293,-9.948381,16,5.7889404,140,0.521428571,0.150837989,3.80675293,0.999751508
ROUND-05-144_144_0_T-DARU2T,144,5,DARU2T,1,16.34608,-11.240437,8,6.618828,106,0.433962264,0.117318436,3.900496172,0.999809325
ROUND-05-144_144_1_T-BABUSQ,144,5,BABUSQ,1,16.900665,-10.702872,12,6.4998426,134,0.462686567,0.162011173,3.902556514,0.999593675
ROUND-05-144_144_1_T-Z8LR6O,144,5,Z8LR6O,3,16.990662,-10.554801,12,6.374226,137,0.489051095,0.173184358,3.936670596,0.999730051
ROUND-05-144_144_1_T-D5KJCA,144,5,D5KJCA,2,16.67762,-10.920649,12,6.331146,106,0.41509434,0.12849162,3.920806646,0.999677658
ROUND-05-144_144_1_T-JMEXAI,144,5,JMEXAI,4,16.854633,-10.74514,11,5.8655233,92,0.467391304,0.111731844,3.53878777,0.99960357
ROUND-05-144_144_0_T-3QROR8,144,5,3QROR8,4,17.33028,-10.078188,17,5.96041,142,0.366197183,0.139664804,4.09218832,0.999675989
ROUND-05-144_144_0_T-AFOPDT,144,5,AFOPDT,3,16.978489,-10.599302,13,6.4093523,135,0.474074074,0.201117318,4.088173115,0.999778211
ROUND-06-144_144_0_T-XK862E,144,6,XK862E,2,17.37293,-9.948381,16,5.7889404,140,0.521428571,0.150837989,3.80675293,0.999751508
ROUND-06-144_144_1_T-Z8LR6O,144,6,Z8LR6O,2,16.240873,-11.414967,8,6.6645155,97,0.443298969,0.145251397,3.871808295,0.999802411
ROUND-06-144_144_0_T-AFOPDT,144,6,AFOPDT,3,16.909883,-10.688713,12,6.376727,126,0.436507937,0.122905028,3.889701564,0.999789655
ROUND-06-144_144_0_T-DARU2T,144,6,DARU2T,1,16.34608,-11.240437,8,6.618828,106,0.433962264,0.117318436,3.900496172,0.999809325
ROUND-06-144_144_1_T-JMEXAI,144,6,JMEXAI,3,17.011845,-10.521097,12,6.0756335,118,0.474576271,0.145251397,3.672274417,0.99968338
ROUND-06-144_144_1_T-BABUSQ,144,6,BABUSQ,1,16.900665,-10.702872,12,6.4998426,134,0.462686567,0.162011173,3.902556514,0.999593675
ROUND-06-144_144_0_T-3QROR8,144,6,3QROR8,4,17.332926,-10.072927,17,5.917704,139,0.366906475,0.139664804,4.062678627,0.999658704
